sequence,visit_day,packet_wave,priority,request_identifier,request_type,duplicate_rows_collapsed,chapters,cluster_titles,source_parts,offices,related_request_waves,request_reason,first_onsite_action,onsite_actions,target_terms,combined_why_it_matters,dedupe_note,capture_exact_folder_title,capture_box_or_container,capture_folder_date_span,capture_withdrawal_sheet,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_volume_boundary,candidate_disposition,final_source_note,compiler_notes,packet_source_note
69,Day 2,Day 2 / Packet 16,B,OA/ID 3117,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.11,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3117. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
70,Day 2,Day 2 / Packet 17,B,OA/ID 3118,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.12,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3118. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
71,Day 2,Day 2 / Packet 18,B,OA/ID 3335,OA/ID request,1,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer","Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs",Day 2 / 11.07,"Request for Conventional Arms and Landmines: Landmines, NSC policy papers, demining, and conventional arms transfer.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",APL; demining; landmines; NSC policy papers; Ottawa; outside agencies,"The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 3335. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
72,Day 2,Day 2 / Packet 19,B,OA/ID 3410,OA/ID request,1,Nonproliferation Regimes,Legal Advisor treaty and sanctions stack,Part 3,"Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 2 / 12.13,Request for Nonproliferation Regimes: Legal Advisor treaty and sanctions stack.,Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; CTBT; CWC; HEU; Iran missile sanctions; START II; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, OA/ID 3410. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
73,Day 2,Day 2 / Packet 20,B,OA/ID 4151,OA/ID request,1,Conventional Arms and Landmines,"Landmines, NSC policy papers, demining, and conventional arms transfer","Parts 1, 2, 3, and 4","Defense Policy, Staff Director, European Affairs, Multilateral & Humanitarian Affairs",Day 2 / 11.08,"Request for Conventional Arms and Landmines: Landmines, NSC policy papers, demining, and conventional arms transfer.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.","Pull OA/ID 3335 Landmines-Demining R&D, V. IWG meetings, Ottawa/effect on allies, demining assistance, and military alternatives.; Start with OA/ID 1405 Landmines 1996, Landmines-NSC Policy Papers, and Landmines-Papers from Outside Agencies.; Use OA/ID 2193 APL and CWC only if the European Affairs lane looks relevant to allied reaction.",APL; demining; landmines; NSC policy papers; Ottawa; outside agencies,"The conventional chapter was nearly empty; these rows expose the staff and agency lanes for PDD-48, demining, Ottawa, and allied effects.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 2, 3, and 4, OA/ID 4151. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
74,Defer,Defer / Packet 01,C,OA/ID 415,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.09,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 415. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
75,Defer,Defer / Packet 02,C,OA/ID 420,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.10,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 420. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
76,Defer,Defer / Packet 03,C,OA/ID 422,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.11,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 422. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
77,Defer,Defer / Packet 04,C,OA/ID 423,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.12,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 423. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
78,Defer,Defer / Packet 05,C,OA/ID 1853,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.01,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 1853. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
79,Defer,Defer / Packet 06,C,OA/ID 1857,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.03,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 1857. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
80,Defer,Defer / Packet 07,C,OA/ID 1858,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.04,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 1858. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
81,Defer,Defer / Packet 08,C,OA/ID 2189,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.05,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 2189. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
82,Defer,Defer / Packet 09,C,OA/ID 3384,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.07,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 3384. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
83,Defer,Defer / Packet 10,C,OA/ID 3387,OA/ID request,1,Volume Control,Speechwriting backtrace for public statements,Part 4,"Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Defer / 13.08,Request for Volume Control: Speechwriting backtrace for public statements.,"Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",CTBT; CWC; North Korea; NPT; public statement; speechwriting; START II,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, OA/ID 3387. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
